date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:16:18	364045/364045	---MC-	200	added ('OK')	image/jpeg	etag:%2202fda2c6480423a7e07de8a3e9e576bf%22	https://framerusercontent.com/images/2dJdpgxANgFzSPkPXlB0v6wkU.jpg?width=2048&height=1365	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/2dJdpgxANgFzSPkPXlB0v6wkU594b.jpg	(from https://www.kubarcelona.com/)
15:16:18	108543/108543	---MC-	200	added ('OK')	image/jpeg	etag:%22701e87924b097bbab37a1b158bd3f962%22	https://framerusercontent.com/images/fFRaOX47tSpFueHShqvfLiVrPc.jpg?width=640&height=800	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/fFRaOX47tSpFueHShqvfLiVrPc386a.jpg	(from https://www.kubarcelona.com/)
15:16:19	119523/119523	---MC-	200	added ('OK')	image/jpeg	etag:%220b6270b9c9c751594bc52f4cfbf17461%22	https://framerusercontent.com/images/1VF1joHKOLbiRPI3EsQMhcgov7E.jpg?width=736&height=1026	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/1VF1joHKOLbiRPI3EsQMhcgov7E0198.jpg	(from https://www.kubarcelona.com/)
15:16:19	2693/2693	---MC-	200	added ('OK')	image/png	etag:%22f683f7c2d23daac89c8c176402423752%22	https://framerusercontent.com/images/L1mHCmXaYlTYImuKBEOc4bBTtkA.png?width=250&height=92	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/L1mHCmXaYlTYImuKBEOc4bBTtkA7f5d.png	(from https://www.kubarcelona.com/)
15:16:19	2804/2804	---MC-	200	added ('OK')	image/png	etag:%22befd4f40d703e8a081a94ab522dea17b%22	https://framerusercontent.com/images/irQZRT9OGAy3GReeH7DGP5jS8iE.png?width=250&height=92	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/irQZRT9OGAy3GReeH7DGP5jS8iE7f5d.png	(from https://www.kubarcelona.com/)
15:16:19	2078/2078	---MC-	200	added ('OK')	image/png	etag:%22d049c0576db50bfd1d57d624c05e966c%22	https://framerusercontent.com/images/YmIUkYaXSnPBc6A5ppCkpJ8xxI.png?width=250&height=92	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/YmIUkYaXSnPBc6A5ppCkpJ8xxI7f5d.png	(from https://www.kubarcelona.com/)
15:16:19	1238/1238	---MC-	200	added ('OK')	image/png	etag:%227f0582c34a6aad4fde04b350a22de542%22	https://framerusercontent.com/images/u5EotWYrqB4WwfVONgd0WywQM.png?width=250&height=92	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/u5EotWYrqB4WwfVONgd0WywQM7f5d.png	(from https://www.kubarcelona.com/)
15:16:20	218543/218543	---M-Z	200	added ('OK')	text/html	etag:%2230ecebc28f73d21e8a70740279d1dc95%22	https://www.kubarcelona.com/terms-and-conditions	D:/websites/KUBbarcellona/SIto%20Papi/www.kubarcelona.com/terms-and-conditions.html	(from https://www.kubarcelona.com/)
15:16:20	219599/219599	---M-Z	200	added ('OK')	text/html	etag:%22266f6fc19f47b28ce7a551bbfddc1bca%22	https://www.kubarcelona.com/privacy-policy	D:/websites/KUBbarcellona/SIto%20Papi/www.kubarcelona.com/privacy-policy.html	(from https://www.kubarcelona.com/)
15:16:21	17045/17045	---MC-	200	added ('OK')	image/jpeg	etag:%226255c0a73d833e10694178bb0949bc6b%22	https://framerusercontent.com/images/ugbtQtATrpULH4lXpmB4ioWYdkI.jpg?scale-down-to=512&width=1804&height=1222%20512w,https://framerusercontent.com/images/ugbtQtATrpULH4lXpmB4ioWYdkI.jpg?scale-down-to=1024&width=1804&height=1222%201024w,https://framerusercontent.com/images/ugbtQtATrpULH4lXpmB4ioWYdkI.jpg?width=1804&height=1222%201804w	D:/websites/KUBbarcellona/SIto%20Papi/framerusercontent.com/images/ugbtQtATrpULH4lXpmB4ioWYdkIb30a.jpg	(from https://www.kubarcelona.com/)
